,Toma,Completion,Probability,Match,Tries
0,lace,type of traditional Mexican hat.,0.61,False,1
1,tire swing,type of swing.,0.42,False,1
2,bottle of ink,bottle of ink.,0.55,True,1
3,jar of jam,type of jam.,0.89,False,1
4,game CD,game CD.,0.45,True,1
5,chocolate,type of chocolate.,0.95,True,1
6,sofa,type of vegetable.,0.86,False,1
7,bangle bracelet,bangle bracelet.,0.55,True,1
8,roll of masking tape,roll of masking tape.,0.79,True,1
9,few batteries,type of battery.,0.76,False,1
10,tiger,type of toy tiger.,0.62,True,1
11,spice bottle,type of spice.,0.81,False,1
12,piece of sand paper,type of tool used for sanding wood.,0.74,False,1
13,salt shaker,"type of pepper, not a salt shaker.",0.65,True,1
14,cow,type of cow.,0.85,True,1
15,salt shaker,"type of pepper, not a salt shaker.",0.67,True,1
16,tiger,type of toy tiger.,0.63,True,1
17,keyboard,type of musical instrument.,0.43,False,1
18,thermometer,type of vegetable.,0.72,False,1
19,ice cream stick,type of ice cream stick.,0.67,True,1
