,Toma,Completion,Probability,Match,Tries
0,beaded necklace,beaded necklace.,0.91,True,4
1,packet of seeds,type of seed.,0.61,False,4
2,chapter book,chapter book.,0.91,True,4
3,hanger,hanger.,0.74,True,4
4,giraffe,giraffe.,0.62,True,4
5,dolphin,type of dolphin.,0.47,True,4
6,buckle,buckle.,0.93,True,4
7,hair tie,hair tie.,0.9,True,4
8,spice bottle,spice bottle.,0.65,True,4
9,knife,type of knife.,0.54,True,4
10,salt shaker,type of salt shaker.,0.6,True,4
11,buckle,buckle.,0.8,True,4
12,game CD,game CD.,0.68,True,4
13,slipper,slipper.,0.36,True,4
14,photo album,photo album.,0.9,True,4
15,sticker book,sticker book.,0.98,True,4
16,spool of thread,spool of thread.,0.5,True,4
17,bracelet,bracelet.,0.94,True,4
18,rug,rug.,0.85,True,4
19,plush dinosaur,plush dinosaur.,0.97,True,4
