,Toma,Completion,Probability,Match,Tries
0,beef,type of beef.,0.71,True,6
1,cork,cork.,0.91,True,6
2,pair of sunglasses,pair of sunglasses.,0.94,True,6
3,plush dog,plush toy.,0.83,False,6
4,rubber band,rubber band.,0.8,True,6
5,rusty nail,type of small fish.,0.31,False,6
6,dagger,dagger.,0.61,True,6
7,tube of lipstick,tube of lipstick.,0.84,True,6
8,lamp,lamp.,0.8,True,6
9,pair of dice,pair of dice.,0.95,True,6
10,cell phone,cell phone.,0.78,True,6
11,bag,tomato.,0.56,False,6
12,notepad,notepad.,0.84,True,6
13,rusty nail,rusty nail.,0.39,True,6
14,shoe lace,shoe lace.,0.59,True,6
15,grid paper,grid paper.,0.49,True,6
16,lace,lace.,0.38,True,6
17,car,toy car.,0.81,True,6
18,beef,type of beef.,0.71,True,6
19,clothes pin,clothes pin.,0.88,True,6
