,Toma,Completion,Probability,Match,Tries
0,candy cane,candy cane.,0.67,True,7
1,pair of earrings,pair of earrings.,0.65,True,7
2,flower,flower.,0.91,True,7
3,handful of change,coin.,0.67,False,7
4,tree,type of tree.,0.49,True,7
5,domino set,domino set.,0.84,True,7
6,sofa,sofa.,0.75,True,7
7,vase,vase.,0.95,True,7
8,lace,lace.,0.42,True,7
9,towel,towel.,0.44,True,7
10,door,door.,0.86,True,7
11,Christmas ornament,Christmas ornament.,0.84,True,7
12,tennis racket,tennis racket.,0.77,True,7
13,soccer ball,soccer ball.,0.98,True,7
14,chapter book,chapter book.,0.7,True,7
15,box of chocolates,box of chocolates.,0.82,True,7
16,fish,type of fish.,0.52,True,7
17,flower,flower.,0.87,True,7
18,cork,cork.,0.76,True,7
19,spring,spring.,0.87,True,7
