,Toma,Completion,Probability,Match,Tries
0,plush unicorn,plush toy.,0.88,False,9
1,bangle bracelet,bangle bracelet.,0.93,True,9
2,hand bag,hand bag.,0.97,True,9
3,basketball,basketball.,0.9,True,9
4,ladle,ladle.,0.97,True,9
5,shawl,shawl.,0.66,True,9
6,candy wrapper,candy wrapper.,0.83,True,9
7,box of chocolates,box of chocolates.,0.59,True,9
8,rat,rat.,0.57,True,9
9,wishbone,wishbone.,0.7,True,9
10,bow tie,bow tie.,0.95,True,9
11,broccoli,type of vegetable.,0.48,False,9
12,few batteries,battery-powered toy.,0.28,False,9
13,bottle of water,bottle of water.,0.77,True,9
14,extension cord,extension cord.,0.34,True,9
15,screwdriver,screwdriver.,0.82,True,9
16,paintbrush,paintbrush.,0.91,True,9
17,shampoo,type of shampoo.,0.53,True,9
18,hammer,hammer.,0.61,True,9
19,wine glass,wine glass.,0.85,True,9
