,Toma,Completion,Probability,Match,Tries
0,sticker book,sticker book.,0.92,True,1
1,mop,type of cleaning tool.,0.51,False,1
2,spoon,type of spoon.,0.54,True,1
3,pair of water goggles,type of swimming goggles.,0.85,False,1
4,outlet,type of outlet.,0.89,True,1
5,zebra,type of animal.,0.86,False,1
6,pinecone,type of pinecone.,0.63,True,1
7,toilet,type of toilet.,0.56,True,1
8,ocarina,musical instrument.,0.43,False,1
9,stick of incense,type of incense.,0.52,False,1
10,pair of safety goggles,tool used for cutting and shaping wood.,0.4,False,1
11,tube of lip balm,type of lip balm.,0.79,False,1
12,shirt button,type of button.,0.32,False,1
13,shoes,type of shoe.,0.76,False,1
14,rolling pin,type of Italian cheese.,0.66,False,1
15,wine glass,type of wine glass.,0.83,True,1
16,bottle of syrup,type of syrup.,0.9,False,1
17,butter knife,type of knife.,0.84,False,1
18,check book,check book.,0.79,True,1
19,spatula,type of kitchen utensil.,0.5,False,1
20,radio,radio.,0.92,True,2
21,zipper,zipper.,0.71,True,2
22,cement stone,cement stone.,0.79,True,2
23,clothes,type of traditional Mexican dish.,0.7,False,2
24,children's book,children's book.,0.68,True,2
25,soccer ball,soccer ball.,0.79,True,2
26,chalk,chalk used for drawing on a chalkboard.,0.83,True,2
27,beaded bracelet,beaded bracelet.,0.93,True,2
28,bottle,bottle.,0.58,True,2
29,video games,video game.,0.91,False,2
30,Christmas ornament,Christmas ornament.,0.81,True,2
31,comb,comb.,0.91,True,2
32,sharpie,marker.,0.86,False,2
33,spool of thread,spool of thread.,0.88,True,2
34,trucks,toy truck.,0.86,False,2
35,balloon,balloon.,0.86,True,2
36,canvas,canvas.,0.83,True,2
37,spool of wire,type of tool used for cutting wire.,0.61,False,2
38,straw,type of straw used to drink beverages.,0.41,True,2
39,picture frame,picture frame.,0.74,True,2
40,box of baking soda,type of Mexican cheese.,0.87,False,3
41,pair of handcuffs,pair of handcuffs.,0.45,True,3
42,box of markers,box of markers.,0.8,True,3
43,glasses,pair of glasses.,0.55,True,3
44,multitool,multitool.,0.81,True,3
45,game CD,game CD.,0.9,True,3
46,thermometer,thermometer.,0.97,True,3
47,whip,whip.,0.91,True,3
48,stop sign,stop sign.,0.92,True,3
49,drawer,drawer.,0.83,True,3
50,dove,dove.,0.69,True,3
51,book,book.,0.67,True,3
52,lime,lime.,0.91,True,3
53,pair of tongs,pair of tongs.,0.75,True,3
54,sketch pad,sketch pad.,0.98,True,3
55,hanger,hanger.,0.97,True,3
56,snowglobe,snowglobe.,0.98,True,3
57,ocarina,ocarina.,0.3,True,3
58,bag,type of bag.,0.63,True,3
59,tire swing,tire swing.,0.78,True,3
60,container of pudding,type of pudding.,0.48,False,4
61,matchbook,matchbook.,0.98,True,4
62,tennis racket,tennis racket.,0.66,True,4
63,wireless control,wireless control.,0.98,True,4
64,book,book.,0.7,True,4
65,whip,whip.,0.88,True,4
66,zipper,zipper.,0.97,True,4
67,trash bag,"type of small, edible fish.",0.59,False,4
68,roll of stickers,roll of stickers.,0.74,True,4
69,puddle,"type of small, edible fish found in the Mediterranean Sea.",0.61,False,4
70,ipod charger,iphone charger.,0.46,False,4
71,brush,brush.,0.62,True,4
72,pencil,pencil.,0.99,True,4
73,washing machine,washing machine.,0.95,True,4
74,CD,CD.,0.78,True,4
75,tweezers,tweezers.,0.84,True,4
76,button,button.,0.87,True,4
77,clock,clock.,0.89,True,4
78,postage stamp,postage stamp.,0.98,True,4
79,milk,type of cheese.,0.91,False,4
80,orange,type of orange.,0.72,True,5
81,pants,type of pants.,0.55,True,5
82,lemon,lemon.,0.63,True,5
83,banana,type of fruit.,0.8,False,5
84,magnifying glass,magnifying glass.,0.96,True,5
85,deodorant,deodorant.,0.69,True,5
86,craft book,craft book.,0.93,True,5
87,paper,"traditional Spanish dish made with potatoes, eggs, and onions.",0.4,False,5
88,fishing hook,type of fish.,0.57,False,5
89,flag,flag.,0.89,True,5
90,acorn,acorn.,0.64,True,5
91,glass,glass.,0.67,True,5
92,plush dinosaur,plush dinosaur.,0.97,True,5
93,martini glass,martini glass.,0.94,True,5
94,dog,type of dog.,0.48,True,5
95,rock,rock.,0.45,True,5
96,food,type of food.,0.94,True,5
97,glass,glass.,0.7,True,5
98,cement stone,cement stone.,0.67,True,5
99,roll of masking tape,roll of masking tape.,0.7,True,5
100,catalogue,type of catalogue.,0.38,True,6
101,pearl necklace,pearl necklace.,0.92,True,6
102,box of crayons,box of crayons.,0.9,True,6
103,container of pudding,container of pudding.,0.61,True,6
104,empty bottle,type of bottle.,0.26,False,6
105,plush cat,plush cat.,0.94,True,6
106,comic book,comic book.,0.99,True,6
107,book of matches,book of matches.,0.92,True,6
108,miniature portrait,miniature portrait.,0.98,True,6
109,tissue box,tissue box.,0.99,True,6
110,bottle of sunscreen,type of traditional Mexican game.,0.48,False,6
111,whistle,whistle.,0.93,True,6
112,plate,plate.,0.89,True,6
113,plush frog,plush frog.,0.68,True,6
114,cars,toy car.,0.67,False,6
115,magnifying glass,magnifying glass.,0.95,True,6
116,bottle,bottle of wine.,0.58,True,6
117,lamp,lamp.,0.98,True,6
118,dolphin,dolphin.,0.46,True,6
119,mirror,mirror.,0.86,True,6
120,teddies,teddy bear.,0.58,False,7
121,beaded bracelet,beaded bracelet.,0.89,True,7
122,roll of stickers,roll of stickers.,0.97,True,7
123,bow,bow.,0.95,True,7
124,sponge,sponge.,0.51,True,7
125,postage stamp,postage stamp.,0.98,True,7
126,drill press,drill press.,0.69,True,7
127,game CD,game CD.,0.9,True,7
128,teddies,teddy bear.,0.69,False,7
129,cookie jar,cookie jar.,0.91,True,7
130,plastic fork,plastic fork.,0.92,True,7
131,grid paper,grid paper.,0.67,True,7
132,lace,lace.,0.53,True,7
133,roll of toilet paper,roll of toilet paper.,0.96,True,7
134,stick of incense,stick of incense.,0.86,True,7
135,stick of incense,stick of incense.,0.85,True,7
136,tissue box,tissue box.,1.0,True,7
137,children's book,children's book.,0.82,True,7
138,novel,novel.,0.56,True,7
139,camera,camera.,0.96,True,7
140,multitool,multitool.,0.81,True,8
141,bag,bag.,0.68,True,8
142,pair of knitting needles,pair of knitting needles.,0.68,True,8
143,bottle of pills,bottle of pills.,0.86,True,8
144,music CD,music CD.,0.89,True,8
145,rusty nail,type of Spanish coin.,0.27,False,8
146,clay pot,clay pot.,0.93,True,8
147,clothes,type of clothing.,0.54,False,8
148,lip gloss,lip gloss.,0.82,True,8
149,roll of toilet paper,roll of toilet paper.,0.97,True,8
150,box of tissues,box of tissues.,0.74,True,8
151,ice pick,ice pick.,0.87,True,8
152,fridge,refrigerator.,0.64,False,8
153,rhino,rhino.,0.88,True,8
154,mirror,mirror.,0.85,True,8
155,keychain,keychain.,0.98,True,8
156,cement stone,cement stone.,0.98,True,8
157,stockings,stocking.,0.83,False,8
158,bow tie,bow tie.,0.96,True,8
159,tennis ball,tennis ball.,0.92,True,8
160,candy cane,candy cane.,0.83,True,9
161,feather duster,feather duster.,0.96,True,9
162,light,light.,0.72,True,9
163,rat,rat.,0.41,True,9
164,mirror,mirror.,0.9,True,9
165,giraffe,giraffe.,0.94,True,9
166,cell phone,cell phone.,0.88,True,9
167,rubber duck,rubber duck.,0.96,True,9
168,spool of wire,spool of wire.,0.96,True,9
169,turtle,turtle.,0.71,True,9
170,rubber duck,rubber duck.,0.97,True,9
