,Toma,Completion,Probability,Match,Tries
0,bottle of perfume,type of Spanish cheese.,0.73,False,1
1,squirrel,type of animal.,0.85,False,1
2,rug,traditional Mexican blanket.,0.41,False,1
3,tomato,tomato.,0.95,True,1
4,pillow,pillow.,0.51,True,1
5,salt shaker,"type of pepper, not a salt shaker.",0.67,True,1
6,cork,type of cork used to seal bottles of wine.,0.78,True,1
7,mouse pad,mouse pad.,0.39,True,1
8,packet of seeds,type of vegetable.,0.95,False,1
9,jar of jam,type of jam.,0.88,False,1
10,lighter,type of lighter.,0.75,True,1
11,box of markers,type of marker.,0.44,False,1
12,sheet of paper,type of traditional Spanish dish.,0.71,False,1
13,steak knife,type of knife.,0.89,False,1
14,computer,computer.,0.75,True,1
15,sheet of paper,type of traditional Spanish dish.,0.71,False,1
16,bottle of nail polish,type of nail polish.,0.74,False,1
17,plush cat,plush toy.,0.89,False,1
18,pair of knitting needles,type of knitting needle.,0.6,False,1
19,sidewalk,type of fruit.,0.84,False,1
