,Toma,Completion,Probability,Match,Tries
0,clay pot,clay pot.,0.94,True,8
1,watch,watch.,0.96,True,8
2,toothbrush,toothbrush.,0.81,True,8
3,class ring,class ring.,0.93,True,8
4,beef,type of beef.,0.68,True,8
5,umbrella,umbrella.,0.8,True,8
6,stick,stick.,0.71,True,8
7,bag of rubber bands,rubber band.,0.59,False,8
8,comb,comb.,0.91,True,8
9,lime,lime.,0.89,True,8
10,matchbook,matchbook.,0.97,True,8
11,bell,bell.,0.9,True,8
12,tree,tree.,0.77,True,8
13,ice cube,ice cube.,0.83,True,8
14,bell,bell.,0.92,True,8
15,trash bag,trash bag.,0.39,True,8
16,zipper,zipper.,0.85,True,8
17,wishbone,wishbone.,0.79,True,8
18,bag,traditional Mexican toy.,0.29,False,8
19,children's book,children's book.,0.9,True,8
