,Toma,Completion,Probability,Match,Tries
0,candle,candle.,0.63,True,10
1,hair brush,type of fruit.,0.29,False,10
2,harmonica,harmonica.,0.82,True,10
3,bottle of sunscreen,bottle of sunscreen.,0.71,True,10
4,can of peas,can of peas.,0.72,True,10
5,keyboard,keyboard.,0.81,True,10
6,shampoo,shampoo.,0.44,True,10
7,hair clip,hair clip.,0.91,True,10
8,tree,tree.,0.75,True,10
9,hair ribbon,hair ribbon.,0.93,True,10
10,bottle of honey,bottle of honey.,0.5,True,10
11,spice bottle,spice bottle.,0.78,True,10
12,car,toy car.,0.66,True,10
13,toe ring,toe ring.,0.87,True,10
14,tea cup,tea cup.,0.93,True,10
15,tennis racket,tennis racket.,0.8,True,10
16,photo album,photo album.,0.89,True,10
17,carrot,carrot.,0.68,True,10
18,knife,knife.,0.68,True,10
19,straw,straw.,0.63,True,10
