,Toma,Completion,Probability,Match,Tries
0,bottle of perfume,type of Spanish cheese.,0.73,False,1
1,squirrel,type of animal.,0.85,False,1
2,rug,traditional Mexican blanket.,0.41,False,1
3,tomato,tomato.,0.95,True,1
4,pillow,pillow.,0.51,True,1
5,salt shaker,"type of pepper, not a salt shaker.",0.67,True,1
6,cork,type of cork used to seal bottles of wine.,0.78,True,1
7,mouse pad,mouse pad.,0.39,True,1
8,packet of seeds,type of vegetable.,0.95,False,1
9,jar of jam,type of jam.,0.88,False,1
10,lighter,type of lighter.,0.75,True,1
11,box of markers,type of marker.,0.44,False,1
12,sheet of paper,type of traditional Spanish dish.,0.71,False,1
13,steak knife,type of knife.,0.89,False,1
14,computer,computer.,0.75,True,1
15,sheet of paper,type of traditional Spanish dish.,0.71,False,1
16,bottle of nail polish,type of nail polish.,0.74,False,1
17,plush cat,plush toy.,0.89,False,1
18,pair of knitting needles,type of knitting needle.,0.6,False,1
19,sidewalk,type of fruit.,0.84,False,1
20,handbasket,handbasket.,0.86,True,2
21,tissue box,tissue box.,0.97,True,2
22,card,card game.,0.7,True,2
23,multitool,multitool.,0.89,True,2
24,spice bottle,type of spice.,0.48,False,2
25,empty jar,jar.,0.62,False,2
26,window,window.,0.84,True,2
27,plush rabbit,plush toy.,0.9,False,2
28,notepad,notepad.,0.91,True,2
29,carrots,type of vegetable.,0.77,False,2
30,pinecone,pinecone.,0.79,True,2
31,stick,stick used for playing a traditional game.,0.38,True,2
32,glass,glass.,0.74,True,2
33,book of jokes,book of jokes.,0.98,True,2
34,money,type of coin.,0.58,False,2
35,box of crayons,box of crayons.,0.67,True,2
36,lamp,lamp.,0.96,True,2
37,glass,glass.,0.76,True,2
38,feather,feather.,0.47,True,2
39,magazine,type of magazine.,0.87,True,2
40,pair of socks,"type of item that Ally was looking for, but it was not in the bucket",0.43,False,3
41,bottle of glue,bottle of glue.,0.89,True,3
42,marble,marble.,0.96,True,3
43,carton of ice cream,type of fruit.,0.94,False,3
44,bell,bell.,0.96,True,3
45,toy robot,toy robot.,0.99,True,3
46,spatula,spatula.,0.29,True,3
47,bottle of honey,bottle of honey.,0.74,True,3
48,box of baking soda,type of vegetable.,0.84,False,3
49,wireless control,wireless control.,0.96,True,3
50,handbasket,handbasket.,0.95,True,3
51,can of chili,type of food.,0.88,False,3
52,wrench,wrench.,0.79,True,3
53,bottle of perfume,bottle of perfume.,0.81,True,3
54,piece of sand paper,type of tool used for sanding wood.,0.44,False,3
55,spool of thread,spool of thread.,0.98,True,3
56,mp3 player,mp3 player.,0.84,True,3
57,toy robot,toy robot.,0.99,True,3
58,belt,belt.,0.96,True,3
59,milk,type of cheese.,0.96,False,3
60,salt shaker,salt shaker.,0.95,True,4
61,extension cord,type of extension cord.,0.56,True,4
62,dog,type of dog.,0.54,True,4
63,wristwatch,wristwatch.,0.97,True,4
64,nail,nail.,0.65,True,4
65,canvas,canvas.,0.51,True,4
66,leg warmers,leg warmer.,0.59,False,4
67,radio,radio.,0.8,True,4
68,drawer,drawer.,0.64,True,4
69,glow stick,glow stick.,0.83,True,4
70,book of matches,book of matches.,0.97,True,4
71,dictionary,type of fruit native to South America.,0.73,False,4
72,toy soldier,toy soldier.,0.98,True,4
73,word search,type of Spanish omelette.,0.39,False,4
74,rubber stamp,rubber stamp.,0.99,True,4
75,bottle,bottle of wine.,0.5,True,4
76,box of crayons,box of crayons.,0.77,True,4
77,plush rabbit,plush rabbit.,0.92,True,4
78,bed,type of bed.,0.46,True,4
79,baseball bat,baseball bat.,0.85,True,4
80,pillow,pillow.,0.78,True,5
81,pillow,pillow.,0.9,True,5
82,sticker book,sticker book.,0.88,True,5
83,beaded necklace,beaded necklace.,0.91,True,5
84,squirt gun,squirt gun.,0.72,True,5
85,spool of string,spool of string.,0.95,True,5
86,bananas,type of fruit.,0.88,False,5
87,snowglobe,snowglobe.,0.99,True,5
88,spool of thread,spool of thread.,0.99,True,5
89,nail filer,nail filer.,0.82,True,5
90,paint brush,paint brush.,0.83,True,5
91,rhino,rhino.,0.75,True,5
92,deodorant,deodorant.,0.71,True,5
93,desk,desk.,0.53,True,5
94,sidewalk,sidewalk.,0.44,True,5
95,hair pin,hair pin.,0.92,True,5
96,cellphone,cellphone.,0.86,True,5
97,grocery list,grocery list.,0.92,True,5
98,thread,type of thread.,0.37,True,5
99,ocarina,ocarina.,0.73,True,5
100,laser pointer,laser pointer.,0.94,True,6
101,toothpaste,toothpaste.,0.94,True,6
102,shawl,shawl.,0.75,True,6
103,bottle of soda,bottle of soda.,0.7,True,6
104,hand mirror,hand mirror.,0.98,True,6
105,chain,chain.,0.74,True,6
106,catalogue,catalogue.,0.37,True,6
107,bookmark,bookmark.,0.72,True,6
108,computer,computer.,0.89,True,6
109,hanger,hanger.,0.6,True,6
110,rabbit,rabbit.,0.57,True,6
111,flower,flower.,0.85,True,6
112,hair clip,hair clip.,0.89,True,6
113,cement stone,cement stone.,0.96,True,6
114,table,table.,0.51,True,6
115,bag of cotton balls,type of traditional Mexican toy.,0.5,False,6
116,stockings,stocking.,0.97,False,6
117,shawl,shawl.,0.69,True,6
118,bracelet,bracelet.,0.92,True,6
119,sofa,sofa.,0.54,True,6
120,CD,CD.,0.95,True,7
121,food,type of food.,0.95,True,7
122,Christmas ornament,Christmas ornament.,0.82,True,7
123,screw,screw.,0.96,True,7
124,helmet,helmet.,0.84,True,7
125,rock,rock.,0.68,True,7
126,pair of safety goggles,pair of safety goggles.,0.8,True,7
127,ice cube,ice cube.,0.83,True,7
128,fishing hook,fishing hook.,0.74,True,7
129,pocketwatch,pocketwatch.,0.97,True,7
130,rusty nail,rusty nail.,0.56,True,7
131,tea cup,tea cup.,0.82,True,7
132,tea pot,tea pot.,0.88,True,7
133,vase,vase.,0.88,True,7
134,video games,video game.,0.91,False,7
135,hair clip,hair clip.,0.94,True,7
136,baseball bat,baseball bat.,0.88,True,7
137,pair of spectacles,pair of spectacles.,0.98,True,7
138,ice cube,ice cube.,0.81,True,7
139,acorn,acorn.,0.74,True,7
140,belt,belt.,0.88,True,8
141,candy cane,candy cane.,0.83,True,8
142,mp3 player,mp3 player.,0.86,True,8
143,hand mirror,hand mirror.,0.98,True,8
144,handful of change,coin.,0.87,False,8
145,chalk,chalk.,0.96,True,8
146,flashlight,flashlight.,0.89,True,8
147,rabbit,rabbit.,0.75,True,8
148,baseball bat,baseball bat.,0.96,True,8
149,pen,pen.,0.9,True,8
150,television,television.,0.98,True,8
151,bag,bag.,0.3,True,8
152,coffee pot,coffee pot.,0.85,True,8
153,pencil holder,pencil holder.,0.99,True,8
154,carrot,carrot.,0.95,True,8
155,plush frog,plush frog.,0.97,True,8
156,camera,camera.,0.95,True,8
157,flag,flag.,0.9,True,8
158,magnifying glass,magnifying glass.,0.96,True,8
159,puddle,puddle.,0.56,True,8
160,puddle,puddle.,0.22,True,9
161,grid paper,type of grid paper.,0.44,True,9
162,bowl,bowl.,0.58,True,9
163,shopping bag,shopping bag.,0.91,True,9
164,dolphin,dolphin.,0.55,True,9
165,crow,crow.,0.49,True,9
166,can of peas,can of peas.,0.85,True,9
167,car,car.,0.62,True,9
168,candle,candle.,0.8,True,9
169,tea pot,tea pot.,0.73,True,9
170,drill press,drill press.,0.87,True,9
171,mobile phone,mobile phone.,0.9,True,9
172,sword,sword.,0.83,True,9
173,knife,knife.,0.71,True,9
174,hair pin,hair pin.,0.95,True,9
175,snowglobe,snowglobe.,0.99,True,9
176,bottle of oil,bottle of oil.,0.82,True,9
177,hand fan,hand fan.,0.94,True,9
178,eye liner,type of eye liner.,0.72,True,9
179,hand mirror,hand mirror.,0.96,True,9
180,bag of cotton balls,bag of cotton balls.,0.31,True,10
181,hair pin,hair pin.,0.93,True,10
182,package of crisp and crunchy edibles,package of crisp and crunchy edibles.,0.63,True,10
183,cookie tin,cookie tin.,0.84,True,10
184,rolling pin,rolling pin.,0.95,True,10
185,carton of ice cream,carton of ice cream.,0.51,True,10
186,chocolate,type of chocolate.,0.51,True,10
187,pencil,pencil.,0.97,True,10
188,food,type of food.,0.86,True,10
189,washcloth,washcloth.,0.59,True,10
190,jar of jam,jar of jam.,0.89,True,10
191,spice bottle,spice bottle.,0.94,True,10
192,toy robot,toy robot.,0.99,True,10
193,carrots,carrot.,0.5,False,10
194,toothbrush,toothbrush.,0.8,True,10
195,snowglobe,snowglobe.,0.98,True,10
196,carrots,carrot.,0.65,False,10
197,empty bottle,empty bottle.,0.51,True,10
198,cell phone,cell phone.,0.87,True,10
199,pepper shaker,pepper shaker.,0.64,True,10
