,Toma,Completion,Probability,Match,Tries
0,rhino,type of animal.,0.75,False,1
1,television,television.,0.55,True,1
2,whip,type of whip.,0.54,True,1
3,pair of knitting needles,type of knitting needle.,0.6,False,1
4,keys,key.,0.46,False,1
5,pop can,type of soda.,0.77,False,1
6,pair of water goggles,type of fish.,0.85,False,1
7,comb,comb.,0.74,True,1
8,radio,type of radio.,0.5,True,1
9,pair of knitting needles,type of knitting needle.,0.59,False,1
10,hair tie,hair tie.,0.78,True,1
11,candy cane,type of candy.,0.74,False,1
12,feather duster,mythical creature that is said to bring good luck.,0.37,False,1
13,milk,type of cheese.,0.97,False,1
14,map,type of treasure map.,0.56,True,1
15,bandana,type of scarf or bandana.,0.38,True,1
16,wedding ring,traditional Spanish wedding ring.,0.67,True,1
17,bananas,type of fruit.,0.92,False,1
18,pair of socks,type of sock.,0.58,False,1
19,can of whipped cream,type of cheese.,0.94,False,1
