,Toma,Completion,Probability,Match,Tries
0,puddle,puddle.,0.22,True,9
1,grid paper,type of grid paper.,0.44,True,9
2,bowl,bowl.,0.58,True,9
3,shopping bag,shopping bag.,0.91,True,9
4,dolphin,dolphin.,0.55,True,9
5,crow,crow.,0.49,True,9
6,can of peas,can of peas.,0.85,True,9
7,car,car.,0.62,True,9
8,candle,candle.,0.8,True,9
9,tea pot,tea pot.,0.73,True,9
10,drill press,drill press.,0.87,True,9
11,mobile phone,mobile phone.,0.9,True,9
12,sword,sword.,0.83,True,9
13,knife,knife.,0.71,True,9
14,hair pin,hair pin.,0.95,True,9
15,snowglobe,snowglobe.,0.99,True,9
16,bottle of oil,bottle of oil.,0.82,True,9
17,hand fan,hand fan.,0.94,True,9
18,eye liner,type of eye liner.,0.72,True,9
19,hand mirror,hand mirror.,0.96,True,9
