,Toma,Completion,Probability,Match,Tries
0,chenille stick,chenille stick.,0.45,True,1
1,wallet,type of wallet.,0.7,True,1
2,harmonica,musical instrument.,0.58,False,1
3,brush,type of brush.,0.5,True,1
4,tube of lipstick,type of lipstick.,0.59,False,1
5,snowglobe,snowglobe.,0.95,True,1
6,baseball hat,baseball hat.,0.57,True,1
7,giraffe,type of toy.,0.59,False,1
8,sticky note,type of tomato.,0.88,False,1
9,stockings,type of vegetable.,0.67,False,1
10,class ring,type of jewelry.,0.42,False,1
11,tooth pick,toothpick.,0.56,False,1
12,pair of safety goggles,tool used for cutting and shaping wood.,0.38,False,1
13,buckle,type of buckle.,0.56,True,1
14,fishing hook,type of fish.,0.84,False,1
15,pair of rubber gloves,tool used for gardening.,0.46,False,1
16,box,type of vegetable.,0.8,False,1
17,hammer,tool used for pounding or hammering.,0.74,True,1
18,cookie jar,cookie jar.,0.49,True,1
19,bouquet of flowers,type of flower.,0.79,False,1
