,Toma,Completion,Probability,Match,Tries
0,packet of seeds,type of vegetable.,0.95,False,1
1,chair,type of chair.,0.73,True,1
2,box of Q-tips,type of vegetable.,0.43,False,1
3,bowl,type of bowl.,0.78,True,1
4,tube of lipstick,type of lipstick.,0.61,False,1
5,pair of glasses,pair of glasses.,0.88,True,1
6,candy wrapper,type of candy.,0.91,False,1
7,cup,type of cup.,0.41,True,1
8,sticker book,sticker book.,0.92,True,1
9,whistle,type of whistle.,0.32,True,1
10,tree,type of tree.,0.91,True,1
11,tooth pick,toothpick.,0.54,False,1
12,bag of popcorn,type of vegetable.,0.92,False,1
13,scotch tape,type of tape.,0.78,False,1
14,bottle of glue,type of tomato.,0.84,False,1
15,box of tissues,type of vegetable.,0.73,False,1
16,lamp,lamp.,0.47,True,1
17,cup,type of cup.,0.42,True,1
18,hair pin,hair pin.,0.71,True,1
19,stockings,type of vegetable.,0.67,False,1
20,giraffe,toy giraffe.,0.57,True,2
21,sidewalk,type of stone.,0.65,False,2
22,candy bar,type of candy.,0.83,False,2
23,pair of sunglasses,pair of sunglasses.,0.77,True,2
24,brush,brush.,0.8,True,2
25,water bottle,type of water bottle.,0.58,True,2
26,plush frog,plush toy.,0.94,False,2
27,deodorant,type of vegetable.,0.74,False,2
28,television,television.,0.98,True,2
29,blouse,blouse.,0.43,True,2
30,keys,key.,0.84,False,2
31,pair of socks,type of item that Ally was looking for but was not in the bucket.,0.49,False,2
32,lamp,lamp.,0.92,True,2
33,lip gloss,lip gloss.,0.72,True,2
34,pencil,pencil.,0.99,True,2
35,giraffe,toy giraffe.,0.59,True,2
36,tea cup,tea cup.,0.79,True,2
37,deodorant,deodorant.,0.58,True,2
38,scarf,scarf.,0.8,True,2
39,box of chocolates,type of cheese.,0.91,False,2
40,cat,type of cat.,0.63,True,3
41,pair of sunglasses,pair of sunglasses.,0.85,True,3
42,sailboat,sailboat.,0.91,True,3
43,bouquet of flowers,type of flower.,0.36,False,3
44,hanger,hanger.,0.65,True,3
45,trucks,toy truck.,0.69,False,3
46,cars,toy car.,0.85,False,3
