,Toma,Completion,Probability,Match,Tries
0,rabbit,rabbit.,0.45,True,4
1,magnet,magnet.,0.86,True,4
2,ring,ring.,0.82,True,4
3,rabbit,rabbit.,0.43,True,4
4,bag of rubber bands,bag of rubber bands.,0.9,True,4
5,handful of change,coin.,0.5,False,4
6,balloon,balloon.,0.81,True,4
7,bottle of glue,bottle of glue.,0.87,True,4
8,bottle of soda,type of Spanish cheese.,0.56,False,4
9,tomato,tomato.,0.99,True,4
10,roll of gauze,roll of gauze.,0.97,True,4
11,stockings,stocking.,0.63,False,4
12,drill press,drill press.,0.64,True,4
13,pocketknife,pocketknife.,0.88,True,4
14,dog,type of dog.,0.66,True,4
15,plush frog,plush frog.,0.93,True,4
16,toy soldier,toy soldier.,0.99,True,4
17,face wash,face wash.,0.5,True,4
18,harmonica,harmonica.,0.78,True,4
19,jar of pickles,jar of pickles.,0.68,True,4
